year,population (million)
1920,3.7
1925,4.49
1930,5.41
1935,6.37
1940,7.35
1945,3.49
1950,6.28
1955,8.04
1960,10.87
1965,11.41
1970,11.67
1975,11.67
1980,11.62
1985,11.83
1990,11.86
1995,11.77
2000,12.06
2005,12.58
2006,12.68
2007,12.79
2008,12.99
2009,13.16
2010,13.19
2011,13.22
2012,13.29
2013,13.29
