province,drinking_age
british_columbia,19
alberta,18
saskatchewan,19
manitoba,18
ontario,19
quebec,18
new_brunswick,19
pei,19
nova_scotia,19
newfoundland,19
nwt,19
nunavut,19
yukon,19
