artist,earnings,shows_played_2018,dollars
Ed Sheeran,429491502,99,`4338298
Taylor Swift,315186362,48,6566382.542
Beyoncé & Jay-Z,253514983,48,5281562. 146
Bruno Mars,237 770168,100,2377701.68
Pink,180402074,88,2050023.568
Justin Timberlake,1149277272,76,1964174.632
U2,119203900,55,2167343.636
The Rolling Stones,117844618,14,8417472.714
Kenny Chesney,114 333176,42,2722218.476
Journey & Def Leppard,97095894,60,1618264.9
